ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-003,20210707,225813,2,193257.9973,60859,2,64403.94737,101.01,3,104.3786932,3.369,0.269510613,11.22333333,9,0,103.4,92.17,101.01,98.86,101.806826,102.205,3.369,0.007888585,0.011830512
CN-003,20210709,175962,2,193257.9973,120236,1,123758.3155,97.37,0,94.15625585,-3.214,0.683306623,10.81888889,9,0,97.37,83.51,85.665,88.0525,87.07103,89.645,-3.214,-0.10577149,-0.079336551
CN-003,20210702,184550,2,193257.9973,99249,3,95639.74569,89.47,0,94.15625585,4.686,0.537789217,9.941111111,9,0,89.47,89.47,89.47,89.47,89.47,89.47,4.686,0,0
CN-003,20210609,170208,2,193257.9973,120292,1,123758.3155,84.26,2,81.04047733,-3.22,0.706735289,10.5325,8,0,97.37,83.51,85.665,88.0525,87.07103,89.645,-3.22,0.033361381,0.063909328
CN-003,20210616,204796,2,193257.9973,69450,2,64403.94737,92.17,0,94.15625585,1.986,0.339117952,11.52125,8,0,103.4,92.17,101.01,98.86,101.806826,102.205,1.986,0.104554909,0.108874905
CN-003,20210630,194622,2,193257.9973,33282,0,25189.4595,95.34,0,94.15625585,-1.184,0.171008416,10.59333333,9,0,95.34,95.34,95.34,95.34,95.34,95.34,-1.184,0,0
CN-003,20210615,167461,2,193257.9973,116342,1,123758.3155,83.51,2,81.04047733,-2.47,0.694740865,10.43875,8,0,97.37,83.51,85.665,88.0525,87.07103,89.645,-2.47,0.042641959,0.073464256
CN-003,20210706,172792,2,193257.9973,65136,2,64403.94737,103.4,3,104.3786932,0.979,0.376961896,11.48888889,9,0,103.4,92.17,101.01,98.86,101.806826,102.205,0.979,-0.015407872,-0.01155706
CN-003,20210623,353760,0,353760,6894,0,25189.4595,83.13,2,81.04047733,-2.09,0.019487788,10.39125,8,0,83.13,83.13,83.13,83.13,83.13,83.13,-2.09,0,0
CN-007,20210612,0,-1,0,2334269,3,2495815.369,90.64,1,79.28545315,-11.355,0,9.064,10,1,90.64,90.64,90.64,90.64,90.64,90.64,-11.355,0,0
CN-007,20210626,0,-1,0,0,-1,0,224.57,2,267.7792337,43.209,0,8.9828,25,1,224.57,13.59,105.845,112.4625,119.600498,145.835,43.209,-0.46742442,-0.350603375
CN-007,20210606,0,-1,0,0,-1,0,13.59,1,79.28545315,65.695,0,6.795,2,1,224.57,13.59,105.845,112.4625,119.600498,145.835,65.695,7.800625313,9.731052244
CN-007,20210710,0,-1,0,0,-1,0,119.59,1,79.28545315,-40.305,0,8.542142857,14,1,224.57,13.59,105.845,112.4625,119.600498,145.835,-40.305,8.78E-05,0.219458149
CN-007,20210704,0,-1,0,0,-1,0,92.1,1,79.28545315,-12.815,0,9.21,10,1,224.57,13.59,105.845,112.4625,119.600498,145.835,-12.815,0.298593898,0.583441911
CN-007,20210709,3076691,3,3271280.976,1953517,3,2495815.369,266.63,2,267.7792337,1.149,0.634940915,9.5225,28,0,266.63,266.63,266.63,266.63,266.63,266.63,1.149,0,0
